lea_id,state,district_name,esb_committed,committed,total_buses,contractor,locale,region,pct_frl,pct_poverty,income_med,pct_nonwhite_hisp,pm25,ozone,asthma18p,pod,applied_not_awarded,arp_qualified,epa2022_prioritized,epa2023_prioritized,pct_esb_fleet
3628380,NEW YORK,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,0,0,31,NA,Rural,Northeast,43,11.6,66792,11.1,6.9,52.6,10.3,0,NA,0,0,0,0
0600048,CALIFORNIA,Paso Robles Joint Unified,6,1,33,NA,Urban,West,63,9.2,83546,36.5,5.1,56.8,9.5,0,NA,0,0,0,18
3628560,NEW YORK,SYOSSET CENTRAL SCHOOL DISTRICT,0,0,NA,1,Suburban,Northeast,12,3.1,175120,31.7,7.6,71.8,8.1,0,NA,0,0,0,0
3628590,NEW YORK,SYRACUSE CITY SCHOOL DISTRICT,0,0,3,1,Urban,Northeast,84,30.1,40490,49.9,6.7,55.2,12.6,0,NA,0,1,1,0
0406030,ARIZONA,Patagonia Union High School District (4462),1,1,NA,NA,Rural,West,58,9.5,49189,57.8,5.5,58.4,9,0,NA,0,1,0,0
3400087,NEW JERSEY,Paterson Charter School for Science and Technology,1,1,NA,NA,Suburban,Northeast,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA
3628680,NEW YORK,TICONDEROGA CENTRAL SCHOOL DISTRICT,0,0,16,NA,Rural,Northeast,60,12,61409,2.3,6,51.6,10,0,NA,0,0,0,0
3628710,NEW YORK,TIOGA CENTRAL SCHOOL DISTRICT,0,0,24,NA,Rural,Northeast,32,7.7,70541,4.3,6.9,53,10.5,0,NA,0,1,1,0
3628740,NEW YORK,TONAWANDA CITY SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,47,10.9,56112,7.4,8,60.9,10.3,0,NA,0,0,0,0
3628800,NEW YORK,TOWN OF WEBB UNION FREE SCHOOL DISTRICT,0,0,9,NA,Rural,Northeast,37,6.2,92000,3.7,5.5,51.7,10.2,0,NA,0,1,1,0
3628890,NEW YORK,TRI-VALLEY CENTRAL SCHOOL DISTRICT,0,0,NA,NA,Rural,Northeast,48,9.1,69300,23,6.2,54.1,10.4,0,NA,0,1,0,0
3628950,NEW YORK,TROY CITY SCHOOL DISTRICT,0,0,NA,NA,Urban,Northeast,67,21.7,55763,31.1,7.1,55.4,10.4,0,NA,0,1,1,0
3628980,NEW YORK,TRUMANSBURG CENTRAL SCHOOL DISTRICT,0,0,24,NA,Rural,Northeast,36,10.2,66821,8.5,6.6,53.6,10,0,NA,0,1,0,0
3629040,NEW YORK,TUCKAHOE UNION FREE SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,19,5.8,137321,26.1,8.6,70.1,8.6,0,NA,0,0,0,0
3629070,NEW YORK,TUCKAHOE COMMON SCHOOL DISTRICT,0,0,NA,NA,Suburban,Northeast,56,11.7,110847,30,6.1,71,8.6,0,NA,0,0,0,0
3629130,NEW YORK,TULLY CENTRAL SCHOOL DISTRICT,0,0,22,NA,Rural,Northeast,32,6.5,82531,5.9,6.4,54.2,10.1,0,NA,0,1,0,0
3629160,NEW YORK,TUPPER LAKE CENTRAL SCHOOL DISTRICT,0,0,16,NA,Town,Northeast,52,14.2,56759,6,5.2,51.8,10.3,0,NA,0,0,0,0
3629190,NEW YORK,TUXEDO UNION FREE SCHOOL DISTRICT,0,0,1,NA,Rural,Northeast,29,6.5,184688,23.5,7.4,60.9,8.9,0,NA,0,0,0,0
3629240,NEW YORK,OTEGO-UNADILLA CENTRAL SCHOOL DISTRICT,0,0,21,NA,Rural,Northeast,43,13.2,52917,7,6.2,52.8,10.3,0,NA,0,1,0,0
2923670,MISSOURI,PATTONSBURG R-II,2,1,7,NA,Rural,Midwest,71,14.1,56146,3.8,7.2,57.3,10.2,0,NA,0,1,1,29
3629280,NEW YORK,UNIONDALE UNION FREE SCHOOL DISTRICT,0,0,1,NA,Suburban,Northeast,61,9.5,98718,82,7.5,69,10.4,0,NA,0,0,0,0
